food_code,food_name,one_serving_size(g),energy_kcal,water_g,protein_g,fat_g,carb_g,sugars_g,fiber_g,sodium_mg
5199,갈비탕,600,339.0,247.0,24.9,20.2,12.5,1.2,2.8,705.0
1007,김밥,200,270.9,106.1,9.5,7.1,41.6,1.4,3.0,480.3
1017,김치볶음밥,500,835.0,332.5,23.8,39.1,97.4,38.8,10.8,1975.0
6266,김치찌개,400,177.8,236.9,13.6,8.6,11.4,3.5,5.8,1074.0
10462,닭갈비,400,606.3,276.9,50.0,22.5,50.8,16.0,6.8,1403.1
12550,돈가스,200,512.0,82.0,26.3,30.5,29.1,4.3,1.7,523.2
6275,된장찌개,400,178.5,233.3,14.4,6.0,17.4,4.6,6.6,1591.3
10467,떡볶이,200,284.2,95.1,7.5,4.8,52.7,7.5,2.3,732.7
3147,라멘,400,347.2,326.6,16.7,15.0,36.2,3.8,4.5,1523.2
3148,라면,550,594.7,254.4,13.9,18.5,92.1,1.5,6.8,1270.0
3152,메밀국수,600,378.0,503.4,18.8,1.7,72.4,0.0,4.8,1164.0
3187,물냉면,800,706.7,239.3,33.9,6.8,123.6,6.5,8.5,2869.3
6284,부대찌개,600,518.7,405.9,26.6,26.0,44.8,6.1,7.9,2109.3
3192,비빔냉면,550,511.5,98.5,22.0,7.9,86.2,8.0,6.9,990.0
1018,비빔밥,550,671.4,248.7,23.6,15.2,108.4,9.8,8.0,1187.1
8382,삼겹살,180,783.0,64.1,33.1,67.1,11.7,5.2,4.3,977.4
5228,삼계탕,1000,784.0,383.2,74.6,31.8,46.4,5.1,6.6,1180.0
14640,샐러드,150,193.4,104.6,7.4,13.4,15.9,6.9,3.1,325.6
5231,설렁탕,600,204.0,263.0,18.0,6.1,17.7,0.6,2.6,580.0
6291,순두부찌개,400,157.3,358.1,14.1,6.9,9.6,4.0,3.2,1001.3
3161,스파게티,500,869.9,291.1,25.5,40.6,100.4,14.5,8.6,1439.1
8388,연어구이,100,191.2,75.5,22.3,10.6,0.2,0.1,0.0,919.6
9457,오믈렛,100,112.3,53.8,8.1,7.5,2.2,0.8,0.2,352.0
3164,우동,700,520.9,476.4,16.4,9.1,91.6,2.3,7.2,1990.9
10529,제육볶음,200,253.7,121.3,22.1,11.5,14.7,7.3,2.3,510.3
7344,족발,150,339.8,86.3,41.2,19.2,0.7,0.2,1.7,507.8
3168,짜장면,650,772.5,284.3,26.8,12.6,141.2,14.0,13.6,2220.4
12549,치킨,200,564.4,96.4,42.0,24.6,26.7,6.5,1.5,797.1
3174,칼국수,600,457.2,326.3,18.9,5.8,80.2,2.9,6.0,1275.8
12566,탕수육,200,333.7,115.0,20.0,14.0,30.7,10.7,2.3,493.0
2120,피자,200,503.6,87.4,25.2,22.9,53.9,8.3,4.4,851.4
2123,햄버거,200,424.3,83.2,20.2,20.5,39.1,6.6,5.6,775.2
8406,훈제오리,250,722.5,127.0,55.1,51.0,10.9,0.7,0.6,1720.0
