food_code,energy_kcal,water_g,protein_g,fat_g,carb_g,sugars_g,fiber_g,sodium_mg
5199,56.500,41.167,4.150,3.373,2.077,0.198,0.467,117.500
1007,135.429,53.066,4.745,3.558,20.801,0.701,1.517,240.171
6266,44.441,59.232,3.389,2.145,2.843,0.870,1.438,268.500
10462,151.571,69.221,12.486,5.624,12.709,3.994,1.693,350.786
12549,282.179,48.224,20.999,12.278,13.374,3.236,0.740,398.531
12550,256.000,41.000,13.140,15.242,14.556,2.140,0.867,261.600
6275,44.636,58.315,3.601,1.505,4.352,1.144,1.661,397.818
10467,142.086,47.525,3.743,2.387,26.335,3.745,1.154,366.343
3147,86.800,81.660,4.172,3.754,9.054,0.962,1.120,380.800
3148,108.133,46.247,2.529,3.362,16.749,0.276,1.237,230.900
3152,63.000,83.900,3.140,0.290,12.060,0.000,0.800,194.000
3187,88.333,29.917,4.233,0.853,15.450,0.813,1.067,358.667
1017,167.000,66.500,4.750,7.810,19.475,7.760,2.150,395.000
6284,86.444,67.644,4.432,4.331,7.462,1.016,1.322,351.556
3192,93.000,17.900,4.000,1.440,15.670,1.455,1.250,180.000
1018,122.080,45.216,4.293,2.772,19.705,1.774,1.460,215.840
8382,435.000,35.600,18.385,37.260,6.490,2.865,2.400,543.000
5228,78.400,38.320,7.464,3.182,4.638,0.508,0.660,118.000
14640,128.944,69.713,4.960,8.948,10.614,4.640,2.038,217.056
5231,34.000,43.833,3.003,1.020,2.957,0.100,0.433,96.667
6291,39.333,89.522,3.536,1.736,2.391,0.992,0.811,250.333
3161,173.970,58.228,5.092,8.121,20.089,2.906,1.724,287.818
8388,191.200,75.540,22.316,10.556,0.248,0.110,0.000,919.600
9457,112.333,53.833,8.133,7.487,2.187,0.787,0.233,352.000
3164,74.417,68.050,2.346,1.307,13.081,0.327,1.033,284.417
10529,126.833,60.667,11.042,5.774,7.353,3.672,1.150,255.167
7344,226.500,57.550,27.475,12.780,0.465,0.140,1.150,338.500
3168,118.839,43.737,4.119,1.946,21.720,2.152,2.089,341.607
3174,76.208,54.379,3.148,0.965,13.367,0.479,0.992,212.625
12566,166.833,57.517,10.002,7.023,15.353,5.332,1.150,246.500
2120,251.819,43.722,12.609,11.461,26.963,4.168,2.222,425.723
2123,212.154,41.577,10.079,10.252,19.572,3.306,2.800,387.615
8406,289.000,50.800,22.035,20.395,4.345,0.260,0.250,688.000
